plot	genre
"У клерка Одзи «Габриэля» Танаки есть нелюбимая работа, подозрительная жена и требующий постоянного внимания маленький сын. От прошлой жизни, в которой он был известным рок-музыкантом, остались только знакомые, к которым «Габ» иногда приходит поговорить насчет очередного диска Michael Schenker Group.В быте служащего все меняется после знакомства с новой коллегой по работе Лейлой Юки: теперь он снова может извлекать монеткой в 10 иен из своей Gibson Flying V настоящий метал, Токио таинственным образом заполоняют предваряющие приезд Михаэля Шенкера концертные афиши и газетные статьи, а облысевшие напарники «Габа» по группе загораются желанием вновь вооружиться инструментами… Именно «вооружиться»: Лейла оказывается инопланетянкой, которой любой ценой нужно завербовать клерка в свой галактический отряд, ведь только звук его гитары, пропущенный сквозь
специальный транслятор, может остановить флот пришельцев, находящийся в двух шагах от уничтожения Земли."	фантастика
Наоми Армитаж и Росс Силибус укрылись под вымышленными фамилиями на Марсе и тихо растят дочку Йоко. Однако спокойной семейной жизни приходит конец, когда в одном из земных предприятий по производству антиматерии происходит бунт роботов. Армитаж узнает, что восстание — лишь повод для сокрытия информации о разработке новых роботов «третьего типа». Наоми отправляется на Землю, чтобы вычислить организаторов мрачной затеи, и встречает на своем пути самого сильного противника из всех, что ей когда-либо попадались, — собственные копии.	фантастика
Когда-то у этих девочек было счастливое детство, любящие родители и радужное будущее… Но всё это исчезло в один миг. Жестокий мир лишил их не только семьи, но даже и собственных тел. Теперь они - секретное оружие на службе у правительства, полулюди, запрограммированные на уничтожение особо опасных преступников и террористов. Модифицированные искусственные тела, специальные навыки по владению боевыми искусствами и любыми видами оружия делают их почти идеальными машинами для устранения неугодных. И хотя опытные наставники-мужчины всегда готовы прийти на помощь, девочки постоянно рискуют своей жизнью. А ведь в душе они - обычные дети, которые влюбляются и мечтают, дружат и ненавидят… И эти чувства и поступки порой могут помешать нажать на курок в нужную минуту.	фантастика
Фудзико Минэ потеряла память. Случилось это, когда она упала с огромной высоты и ударилась головой. Выжить после такого падения было невозможно, но ей повезло. Только она теперь совсем не помнит ни своего имени, ни своих друзей, ни где находится могущественный артефакт, о месте нахождения которого знала только она. Знаменитый аферист Арсен Люпен Третий будет помогать Фудзико восстанавливать потерянную память, не забывая при этом искать артефакт.	фантастика
«Параллельная» современная Япония. Префектура Ф, город Ф. Совершенная Тайная Организация «Акросс» под руководством рокового красавца Ильпалаццио готовится захватить мир и очистить его от скверны. Первым шагом к достижению этой Великой Цели Ильпалаццио считает захват города Ф. В распоряжении Ильпалаццио находятся двое подчиненных: гиперактивная Эксель, которой движет безбрежная любовь к Ильпалаццио, и Хаятт, которой ничего не движет, так как от минимального напряжения она на время умирает. В соответствии с приказами шефа девушки нанимаются на всевозможные работы на полставки, пытаясь заработать денег для «Акросса» и реализовать планы захвата города. А сам Ильпалаццио, пока Эксель и Хаятт работают, мучается от безделья: учится играть на гитаре, играет в компьютерные игры...	фантастика
Может ли повредить родство с избранником двух богинь, наследником звездной империи Дзюрай? Конечно, может, если вы – Сэйна Ямада, абсолютный чемпион Галактики по невезению. В итоге редко бывающая на Земле Кирико Масаки, офицер Галактической полиции, принимает Сэйну за родственника Тэнти (и своего, кстати) и без проволочек вручает ему контракт. А так как для Сэйны из всех раскладов неизменно выпадает наихудший, то на другой день призывник уже загремел куда следует. Когда начальство разобралось, что вместо «галактического виконта» к ним попал захолустный неудачник, осталось только по-отечески сказать: «ладно, молодой, тащи службу, там посмотрим».Честный и старательный Сэйна преодолел тяготы и лишения,  пережил тренировочный курс и полюбил новую профессию, а когда первые рейды против пиратов на корабле-трансформере Фуко (младшей сестре Рё-о-ки) оказались удачными, начал продвигаться по карьерной лестнице. Очень скоро Кирико, опекающая земляка, начала испытывать к нему отнюдь не родственные чувства, а по мере новых приключений Сэйной стали интересоваться все более серьезные люди. Чтобы перспективный парень не пропал, шефство над ним приняла всемогущая Сэто-сама, «принцесса демонов Дзюрай» и теща нынешнего императора. А уж после этого такое началось…	фантастика
"Действие «Розы Версаля» разворачивается во второй половине XVIII, в предреволюционной Франции.Генерал де Жарже не имеет наследника. Желание растить сына, который продолжит отцовскую военную карьеру, оказывается настолько сильно, что генерал называет свою последнюю дочь Оскаром-Франсуа и воспитывает, как мальчика. 
Когда Оскар исполняется 14 лет, отец представляет ее королю – но не как робкую дебютантку, а как претендента на звание командующего личной гвардией королевы. В честном поединке Оскар добивается этого высокого чина и становится телохранительницей юной Марии-Антуанетты…"	романтика
Лемнеар – воин Серебра, героиня, которая должна освободить мир от зла и темных чар. Но, кроме того, Лемнеар – это юная девушка, чьи родители погибли от рук колдуна Гардина. Спасение обездоленных, наказание злодеев, вот удел Воина Серебра. Как знать, найдет ли Лемнеар счастье среди опасностей, побед и подвигов?..	фантастика
"Четыре феи - Куруру, Чирири, Сарара и Хороро залезли в маленькие бутылочки и отправились в человеческий мир. Почему в бутылках? Да потому, что в человеческом мире пишут письма с сокровенными желаниями и отправляют в плавание в бутылках. ""Так и надо!"", - решили феи и вместо писем сами залезли в бутылочки, загадав желания. Какие желания? Они хотят стать людьми! В мире фей им попались человеческие журналы, и феи подумали, что это просто здорово.Но есть масса вещей, о которых эти четверо не знают. Благодаря ""Сэнсэю-сан"" они и их знания понемногу растут. Мы можем понаблюдать за их ежедневными большими открытиями и маленькими ошибками."	комедия
"Действие происходит в будущем в некоем весьма милитаризированном государстве, ведущем войну со своим ""северным соседом"". В лесной местности во время сильной грозы терпит крушение военно-транспортный самолёт со сверхсекретным грузом на борту - двумя экспериментальными боевыми киборгами M-66, разработанными гениальным доктором Мэтью и предназначенными стать абсолютным оружием на фронте. При падении в М-66 произошёл сбой, приведший к непредусмотренной загрузке тестовой боевой программы, объектом поражения для которой чудаковатый изобретатель в шутку указал имя своей любимой внучки Феррис. Место падения самолёта оцепляют коммандос, пытаясь остановить киборгов, имеющих, кстати, женский облик. Прознав про аварию, туда же устремляется в поисках сенсации ушлая журналистка Сибель, став невольным свидетелем отчаянного боя солдат с киборгами. Хотя одну М-66 удаётся нейтрализовать, другая ускользает и продолжает свою миссию ""найти и обезвредить"", цель которой - ничего не подозревающая девочка, развлекающаяся с подругами где-то в городе. Кто быстрее найдёт Феррис - смертоносная М-66 или коммандос? Или же отчаянно смелая Сибель, полная решимости не дать девочке погибнуть?"	фантастика
Под Рождество даже в далёком Токио обязательно происходят удивительные чудеса и невероятные события... Трое бездомных бродяг: алкоголик Джин, трансвестит Хану и беспризорница Миюки - находят на улице потерянную новорожденную девочку, и это необычайное происшествие полностью меняет их судьбу. Проникшись состраданием к беспомощному существу, необычные ангелы-хранители решают во что бы то ни стало вернуть младенца родителям. Они и не подозревают, сколько веселых, опасных, странных и, наконец, просто волшебных приключений выпадет им на пути к цели...	комедия
Отец, Хоси Иттэцу, и его сын увлечены бейсболом. Юма побеждает всех, кто стоит на его пути, и становится превосходным подающим в лучшей профессиональной бейсбольной команде Японии «Токио Йомиури Джайэнтс». Многие поклонники стараются подражать Юме, преклоняясь перед его стойкостью во время тренировок и непреклонным стремлением к победе. Этот известный спортивный аниме-сериал служит символом профессионального бейсбола, одного из наиболее излюбленных зрелищных видов спорта в Японии.	повседневность
Действие происходит в некоем фэнтезийном мире, напоминающем Дикий Запад, где традиционный ковбойский стиль уживается с высокотехнологичным оружием и магией. Шайенн Рэйнсторм - опаснейший бандит, знаменитый своими прирождёнными способностями во владении оружием невероятной убойной силы ARMS и считающийся реинкарнацией древней расы чёрных колдунов. Но однажды удача отвернулась от него - и Шайенн был застигнут врасплох и убит в засаде, будучи лишь двадцати пяти лет от роду. Спустя несколько лет при бегстве из тюрьмы группа авантюристов наткнулась на спящего в камере маленького мальчика. После его пробуждения выяснилось, что это не кто иной, как Шайенн, смутно помнящий злополучную засаду, но понятия не имеющий, что случилось после, и как он оказался в теле малыша. Обладая неукротимым духом и яростным желанием вернуться к своему столь любимому женщинами телу (а был он редким красавцем), бывший бандит с вольной и невольной помощью пробудивших его авантюристов отправляется в долгое путешествие в попытке прояснить загадку своего прошлого и узнать, кто поместил его в тело маленького мальчика.	фантастика
Мальчик по имени Хосино Тэцуо хочет жить вечно. Но если он хочет жить вечно, ему нужно получить механическое тело. Для того чтобы его получить, он отправляется на поезде в космическое пространство вместе с Мэйтел, загадочной и прекрасной женщиной  (поезд называется Галактический экспресс 999). Сериал, в котором с Тэцуо происходят различные приключения и встречи с различными существами, заставляет задуматься о жизненных ценностях.	фантастика
Даже в отдаленном и светлом будущем шоу-бизнес правит миром – так звучит одна из аксиом японской анимации. И, разумеется, ради прибыли и опережения конкурентов алчные воротилы музыкального андеграунда не остановятся ни перед чем, включая похищение суперзвезд из соседней галактики! Теперь несчастные братья по разуму – гитарист Арпегиус, басистка Стелла, ударник Бэрил и вокалист Октав – вынуждены работать на отвратительного продюсера графа Дарквуда. Ну и что, что кожа голубая? И не таких видали, а язык музыки универсален. В итоге, после ряда процедур одурманенные пришельцы закономерно становятся лучшей группой мира.И продолжили бы Стелла со товарищи царить в наших чартах, забыв родную планету, если бы не помощь земляка – отважного пилота Шепа. Дальше все решили великая сила искусства и всепобеждающая сила любви, а величайшей группой в земной истории все равно остались «Битлз»!	повседневность
У одиннадцатилетней Харуми казалось бы есть всё, чего может пожелать девочка в её возрасте. Богатые родители, которые дают ей полную свободу действий, огромный дом, подруга в школе, да ещё и самый настоящий говорящий пёс Юнкерс. Но порой ребёнку всё это не так уж и нужно, и он готов променять всё просто на крепкую семью. Однако для исполнения такого желания может потребоваться ни много ни мало — настоящее чудо…	драма
Трехлетняя Молли Хэйл - круглая сирота, ее родители бесследно исчезли в археологической экспедиции. Однажды, вспоминая папу и маму, девочка случайно взывает к могущественным покемонам, способным воплотить ее самые желанные грезы. Но попытка воскрешения родных оборачивается трагедией. Девочка оказывается заточенной в хрустальном замке таинственных Аноунов, столетия считавшихся мифическими. Узнав о случившемся, на помощь крохе спешат наши старые знакомые - Эш Кетчам и его верный друг Пикатю.	фантастика
Где-то далеко существует странный мир, так похожий на наш и все же бесконечно далекий. Мир, застывший в средневековье, с феодальными лордами и бродячими купцами, в то же время с рыбаками на моторках и ниндзя за телевизором. Да, ниндзя, ибо миром тем незримо правят хитроумные синоби, познавшие три ветви Великого Искусства – Искусство Тела (тайдзюцу), Искусство Скрытого (ниндзюцу) и Искусство Иллюзии (гэндзюцу). Мощь государств здесь определяется не бесчисленными легионами, а независимыми Сокрытыми деревнями ниндзя, главы которых, носящие титул «Кагэ» (тени), могут справиться даже с могучими демонами.С одной из таких битв и начинается история. На деревню, Сокрытую в Листве, напал древний демон Кьюби, ужасный Девятихвостый Лис. Вождь деревни одолел демона, ценой собственной жизни заточив его в теле новорожденного младенца. Мальчик, получивший имя Наруто, рос сиротой и изгоем, но не сломался, не озлобился, потому что рядом оказались люди, верящие в него. И потому, окончив академию ниндзя и узнав нелегкую правду, прямой и непоседливый Наруто принял решение жить для людей и обязательно стать Хокагэ – новым вождем деревни. И не беда, что среди его сверстников и старших товарищей полно сильных бойцов, мудрых стратегов и просто гениев; не важно, что в мире зашевелились темные личности, жаждущие узнать – кто же там заперт в нахальном рыжем парне? Раз он решил, то преодолеет все, ибо «Таков его путь ниндзя!»	фантастика
"В будущем Японию захлестнула волна бандитизма. Жители Ньюпорт Сити и его органы правопорядка испуганы серией террористических атак, использующих самое современное вооружение. На малочисленную танковую полицию города возложена задача восстановления порядка, хотя её безжалостные методы борьбы с преступностью порой только увеличивают хаос и разрушение, а устаревшим танкам не угнаться за высокотехнологичными злоумышленниками. Но Леона Одзаки и Ал, напарники по экипажу танка-малютки ""Бонапарт"", полны решимости выяснить, кто стоит за последними атаками..."	фантастика
Пятикласснице Тиэ некогда корпеть над уроками, у нее есть заботы поважнее. Ей надо вести семейный бизнес – хозяйничать в маленькой распивочной-закусочной (жарить шашлыки, наливать саке, мыть посуду, принимать оплату и сверять баланс), а также приглядывать за отцом, великовозрастным разгильдяем, который только и горазд заключать идиотские пари, играть в карты да кости, и задирать местных якудз. Мать Тиэ давно устала от такой жизни и ушла; но Тиэ – сильная, Тиэ справится... Беспокоит ее только одно: ну вот вырастет она, выйдет замуж – а отец как же? Один он точно пропадет!	комедия
Любой поклонник аниме знает, что в Японии, начиная с Императора, хватает потомков людей и сверхъестественных существ. Смешанная кровь дает большие преимущества, и подобные кланы давно стали тайной аристократией со строгим кодексом чести и поведения. 15-летняя Риритиё из семьи Сиракиин с детства обладала резким и неуживчивым характером, ибо демонические черты проявились в ней особенно ярко. Поэтому, поступив в старшую школу, девушка решила жить отдельно, чтобы разобраться в себе и научиться ладить с окружающими. Но не в каморку же идти наследнице клана – пришлось устраиваться в роскошный отель «Особняк необъяснимого», в народе давно прозванный «Дом с привидениями»!Риритиё быстро поняла, что новый дом назван так не зря – в нем обитали такие же, как она, молодые люди, которых мудрые «предки» послали повидать жизнь, в то же время обеспечив комфорт и защиту. Для этого к каждому постояльцу приставлен офицер службы безопасности, совмещающий функции спутника, слуги и телохранителя. А кто может вытерпеть, защитить и исполнить капризы полудемона? Только истинный демон во всем блеске своих возможностей! А если он еще питает к хозяйке нежные чувства, то становится ясно, что юной героине жизнь в веселой общине полукровок точно пойдет на пользу!	комедия
Иностранка Соня – наемная убийца, живущая под легендой ученицы старшей школы. Несмотря на профессионализм и опыт «трудовой деятельности», до дрожи в коленках боится тараканов, призраков и диких животных. Агири Госики – ниндзя из той же организации, работающая под схожей легендой, вечно расслабленная девушка, не упускающая, однако, возможности слегка заработать на стороне. Ясуна Орибэ – абсолютно безбашенная Сонина одноклассница. И Девочка-без-имени, которую злые авторы придумали неизвестно для чего. Вот и все персонажи истории!А теперь представьте, на что похожа японская школа, если для Ясуны общение и веселая тусовка с киллером и куноити – способ развлечься и сбросить напряжение? Если учесть, что по души подружек регулярно являются конкуренты, заказчики и профессиональные мстители, то жизнь простой японской школьницы надолго стала лучше и веселее!	комедия
Четвертая война Святого Грааля, величайший магический ритуал, призванный решить судьбы мира, вступает в завершающую фазу. Еще никогда на поле брани не выходили столь могучие воины-Слуги, да и маги-Мастера оказались им под стать. Большинство Мастеров знают, что в этой войне кому-то суждено добыть Грааль, и потому, как разумные люди, наплевали на правила и принялись с первых же часов активно обманывать, подставлять и убивать как врагов, так и союзников.  Ряды участников редеют, а битвы уже невозможно скрыть от посторонних, ибо вызванные монстры вот-вот снесут маленький городок Фуюки с лица земли.Итак, знакомство давно позади, маски сброшены, сильные и слабые стороны каждого Мастера и Слуги известны. Мы узнали, как началась эта история, и знаем, как она закончится. Осталось лишь насладиться тем, что было посередине!	фантастика
В анналах академии Сэйкё множество чудес, жутковатых легенд и просто страшных историй, в большинстве которых фигурирует местный призрак Юко. Неудивительно, что в школе создан клуб изучения паранормальных явлений, где основной ударной единицей является 13-летний экстрасенс Тэйити Ниия, свободно общающийся с потусторонним миром. Здравый смысл представляет на год старшая Кириэ Каноэ, девушка из старинного рода, тоже обладающая духовной силой, а энтузиазма хоть отбавляй у ее ровесницы, секретаря клуба Момоэ Оконоги. Проблема же в том, что президента клуба по имени Юко Каноэ никто из посторонних никогда не видел!Все верно, Юко Каноэ и есть школьный призрак, общаться с ней могут только Тэйити, на самом деле сильный экстрасенс, и Кириэ, ее внучатая племянница. Юко, то есть «сумеречная дева», попросила Тэйити использовать клуб не только для развлечения (хотя за годы одиночества развила вкус к шуткам и проказам). Дело в том, что Каноэ-старшая знает, что умерла в этой школе, но совсем не помнит обстоятельства своей смерти. Вместе с тем всем призрачным чутьем Юко понимает, что смерть была нелегкой, и с этим связана какая-то опасность для потомков. Так что теперь доблестные исследователи непознанного должны между сказками и легендами постепенно подобраться к главной тайне… Вот только бедную Момоэ жалко от души!	комедия
16-летняя Сакура Сакуракодзи говорит и действует как настоящий самурай. Увидев, что какой-то парень сжигает людей заживо, и встретив его по закону жанра утром в собственном классе, она без всяких девичьих уловок вызвала новичка на серьезный разговор. Впрочем, красавчик Рэй Огами все отрицал, доказательств у Сакуракодзи не было, а объяснение на глазах у всей школы породило лишь волну слухов. Истину девушка узнала следующей ночью, вступившись за бездомного перед уличной бандой. Увы, Сакура быстро поняла, что айкидо хорошо в светлом и чистом зале, а не на пустыре против десятка отморозков. Заступнице грозили серьезные неприятности – но таинственный Огами явился снова, и банда в буквальном смысле сгорела синим пламенем.Среди героев сериала хватает эсперов, владеющих пирокинезом, светом, звуком, электричеством и даже самим временем! Многие из них работают на тайную организацию «Эдем» как наемные убийцы и «решатели вопросов», кое-кто живет только для себя, кто-то давно вышел из игры. И сами Одаренные, и использующие их хозяева жизни исповедуют ницшеанскую философию, считая, что мораль – для толпы, а сверхчеловек может творить все, что пожелает. Вот в такой мир угодила Сакура, воспитанная, как адепт боевых искусств, совсем на других идеалах. В чем же долг сильного – очищать огнем или защищать слабых? Кто судит судей и сторожит стражей? Смотрите – и узнаете!	фантастика
Мир Цветка Судьбы понемногу начал раскрывать свои тайны. Оказывается, 20 тысяч лет назад в Галактике бушевал ужасающий кризис, и именно на Земле удалось найти единственное решение. Поэтому сейчас голубая планета притягивает взоры двух могучих цивилизаций – Ле Гарите и Де Метрио, что готовятся к большой войне. Правители враждебных планет согласились встретиться в Камогаве, чтобы попытаться найти компромисс, но все понимают, что победит тот, кто привлечет на свою сторону боевых роботов серии «Глас», которые достались главным героиням сериала. Пока Земля контролирует роботов через корпорацию «Номундус», ее позиция сильна, но что скажут сами девушки-пилоты?Расклад прост – несмотря на собственную дружбу и разногласия с родными, Лан и Мугинами не бросят братьев в беде, а значит неминуемо окажутся по разные стороны баррикад. Чтобы предотвратить войну и спасти подруг, землянка Мадока готова на все, тем более, что некий голос с недавних пор нашептывает: для этого надо лишь немного вмешаться в законы природы, на что она и «Глас ветра» вполне способны. Чей это голос - друга или врага? Не толкают ли ее на путь деметрийской принцессы Юрикано, с гибели которой и начался нынешний конфликт?  Что означает Цветок Судьбы, уже дважды явившийся в наш мир? Подсказывать не надо – президент «клуба помощи» Мадока Кёно и сама разберется!	фантастика
В теплом море некоего параллельного мира раскинулся большой торговый остров Регало. Разумеется, столь благодатную землю не раз завоевывали, грабили и опустошали, но ко времени, аналогичному концу нашего XIX века, маленькая, но гордая страна обрела, наконец, независимость. Правит островом и следит за законом и порядком не король, не князь, а, конечно же, мафиозная семья! Семья Аркана – типичный пример «нашего дела», объединение по крови и духу, каждый из членов которого обрел мистические силы от контракта с одним из козырей Таро. Ну а главу семьи и фактического хозяина острова все зовут просто «папа»!Мондо, нынешний «папа», еще не стар, но разумно озаботился выбором преемника, для чего объявил «турнир Арканы», открытый для всех членов семьи. Победитель получит не только власть, но и руку единственной дочери главы клана. Впрочем, своенравная Феличита замуж не рвется и потому собирается лично участвовать в турнире, чтобы завоевать свою свободу. В этом ей обещали помочь кузен Нова и друг детства Либерта, а вот остальные члены семьи, куда более серьезные бойцы, не прочь присоединить к главному призу еще и «бамбину». Теперь героям остается лишь выяснить, что сильнее – мечты, судьба или карты Таро!	фантастика
Новый учебный год продолжается, и в коттедже «Солнечный», как всегда, весело! Все шесть комнат, словно соты в пчелином улье, заняты трудолюбивыми ученицами из трех поколений школы искусств Ямабуки. Выпускницы Саэ и Хиро – уже вступающие во взрослую жизнь молодые женщины, настоящие лидеры общежития, мудрые и надежные, как скала. Старшеклассницы Юно и Мияко давно поверили в себя, нашли свой путь и не забывают, что они теперь старшие подруги и пример для новичков. А новички тоже потихоньку устраиваются, и если «домашней» Надзуне все дружно помогают, то к компьютерной энтузиастке Нори даже «сэмпаи» заглядывают за советом.Вот так героини и живут, не забывая, что жизнь прекрасна, молодость дается лишь раз, учеба должна приносить радость, а не висеть гирями на душе. Усилиями знаменитой студии Shaft и лично Симбо Акиюки-сэнсэя нас снова ждет великолепная палитра праздников и будней обитательниц «Солнечного дома»!	комедия
Жил-был старшеклассник Коёми Арараги, нормальный такой парень, бывший вампир. Пережить ему пришлось столько, что друзей-ровесников у Коёми не было, зато было много подруг. Правда, как на грех, все подруги оказалось прокляты богами или демонами, но с кем не бывает! Пользуясь новыми силами и связями в оккультном мире, Арараги сумел помочь своим девушкам, а с любимой по имени Хитаги Сэндзёгахара проклятие, кажется, удалось снять полностью (хотя в минуты слабости герой в этом очень сомневается!). И вроде бы все стало хорошо, живи себе, поживай, к экзаменам готовься...Увы, в жизни так не бывает. Сначала пропал Мэмэ Осино, старый хиппи, он же гуру и духовный учитель. Потом до Коёми стали доходить слухи, что его младшие сестры Карэн и Цукихи, под влиянием братика объявившие себя «рыцарями правосудия» и даже заработавшие кличку «огненные сестры школы Цуга», слегка заигрались. Увы, по сравнению с такими фигурами, как Осино, да и сам Арараги, «огненные сестренки» – лишь подделки, пародия на серьезных специалистов. Имитируя бурную деятельность, Карэн и Цукихи среди фальшивок и иллюзий наткнулись на нечто серьезное и не очень дружелюбное. В итоге свои неприятности они получили, а брату опять расхлебывать!	комедия
